מטבח כשר,משופצת,"ממ""ד",מזגן תדיראן,ריהוט,גישה לנכים,מיזוג,מעלית,מחסן,סורגים,חניות,מרפסות,קומות בבנין,מצב הנכס,סוג נכס,עיר,שכונה,תיווך,חדרים,קומה,"מ""ר",מחיר
1,1,1,1,1,1,1,1,1,1,1,1,8,במצב שמור,דירה, אשדוד,"[' רובע ט""ו']",1,4,2,129,"2,100,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,7,במצב שמור,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",1,4,1,134,"2,000,000 ₪"
0,0,1,1,0,1,0,0,1,1,2,3,,דרוש שיפוץ,בית פרטי/קוטג', אשדוד,"[' רובע י""א']",1,9,קרקע,480,"4,600,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,3,7,חדש,גג/פנטהאוז, אשדוד,"["" רובע ח'""]",1,3,7,158,"2,300,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,,6,משופץ,דירת גן, אשדוד,"[' רובע י""ג']",1,4,קרקע,170,"2,300,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,7,משופץ,דירה, אשדוד,"[' רובע י""א']",1,4,3,124,"1,980,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,9,משופץ,דירה, אשדוד,"[' רובע י""א']",1,5,2,135,"2,350,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,7,במצב שמור,דירה, אשדוד,"[' רובע י""ב']",1,4,3,124,"1,970,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,1,2,משופץ,דופלקס, אשדוד,"[' רובע י""ג']",1,4,2,115,"1,730,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,,4,משופץ,דירה, אשדוד,"["" רובע ו'""]",1,2.5,2,70,"1,600,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,,8,משופץ,,,,0,,,,
1,1,1,1,1,1,1,1,1,1,1,1,13,משופץ,דירה, אשדוד,"[' רובע הקריה', ' הסיטי']",0,4,7,133,"1,640,000 ₪"
0,,,1,,1,,,1,,,,,,מגרשים, אשדוד,[],1,-,קרקע,528,"4,150,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,2,7,חדש מקבלן,גג/פנטהאוז, אשדוד,"["" רובע א'""]",0,4.5,7,105,לא צוין מחיר
0,1,1,1,1,1,1,1,1,1,ללא,,13,משופץ,גג/פנטהאוז, אשדוד,"[' רובע י""ב']",1,5,13,360,"6,200,000 ₪"
1,,,1,,1,,,1,,,,,,מגרשים, אשדוד,[],1,-,קרקע,501,לא צוין מחיר
1,,,1,,1,,,1,,,,,,מגרשים, אשדוד,[],1,-,קרקע,100,"130,000 ₪"
1,1,1,1,1,1,1,1,1,1,2,1,6,משופץ,דירה, אשדוד,[],1,4,2,118,"1,580,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,,7,משופץ,דירה, אשדוד,[],1,4,3,106,"1,520,000 ₪"
1,,,1,,1,,,1,,,,,,מגרשים, אשדוד,[],1,-,קרקע,750,לא צוין מחיר
0,1,1,1,1,1,1,1,1,1,1,1,14,משופץ,דירה, אשדוד,"[' רובע ט""ז']",1,5,4,170,"2,550,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,3,משופץ,דופלקס, אשדוד,"[' רובע י""ג']",1,5,2,100,"1,640,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,1,9,משופץ,דירה, אשדוד,[],1,3,6,98,"1,450,000 ₪"
1,1,1,1,1,1,1,1,1,1,2,,21,משופץ,דירה, אשדוד,"[' הקריה מע""ר']",1,5,5,150,"3,190,000 ₪"
1,,,,,,,,,,2,2,10,חדש,גג/פנטהאוז, אשדוד,[' מרינה'],1,5,10,390,"9,000,000 ₪"
1,1,1,1,1,1,1,1,1,1,2,1,,במצב שמור,בית פרטי/קוטג', אשדוד,"["" רובע י'""]",1,6,קרקע,267,"3,150,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,3,9,משופץ,דופלקס, אשדוד,"[' רובע הקריה', ' הסיטי']",1,6,9,250,"3,100,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,3,משופץ,דירת גן, אשדוד,[],0,4,קרקע,100,"2,340,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,1,8,במצב שמור,דירה, אשדוד,[],0,4,2,120,"1,760,000 ₪"
0,1,1,0,0,1,1,1,1,1,1,1,14,חדש,דירה, אשדוד,[],1,4,5,140,"2,150,000 ₪"
0,0,0,1,0,1,1,1,0,0,ללא,,8,משופץ,דירה,דירה,[],0,3,6,85,"1,070,000 ₪"
0,0,1,0,0,1,1,1,0,0,1,1,7,במצב שמור,דירה, אשדוד,"[' רובע י""ב']",1,4,4,119,"1,950,000 ₪"
1,0,1,0,1,1,1,1,1,1,1,1,7,במצב שמור,דירה, אשדוד,"[' רובע י""ב']",1,4,3,124,"1,970,000 ₪"
0,1,0,0,0,0,1,0,0,1,ללא,1,2,משופץ,דופלקס, אשדוד,"[' רובע י""ג']",1,4,2,115,"1,730,000 ₪"
0,1,0,0,0,0,1,0,0,0,ללא,,4,משופץ,דירה, אשדוד,"["" רובע ו'""]",1,2.5,2,70,"1,600,000 ₪"
1,1,0,1,0,0,1,0,0,1,1,1,3,משופץ,דירה, אשדוד,"["" רובע ג'""]",1,5,3,134,"2,350,000 ₪"
,,,,,,,,,,1,,8,דרוש שיפוץ,דירה, אשדוד,"["" רובע ג'""]",1,3,7,80,לא צוין מחיר
,,,,,0,,,0,,,,,,מגרשים,מגרשים,[],1,-,קרקע,100,"320,000 ₪"
1,1,1,1,1,1,1,1,1,1,ללא,2,3,משופץ,דופלקס, אשדוד,"["" רובע ז'""]",1,5.5,3,140,"2,850,000 ₪"
1,1,1,1,1,1,1,1,1,1,1,,3,במצב שמור,דירה, אשדוד,"["" רובע ט'""]",0,4,3,94,"1,420,000 ₪"
0,0,1,0,0,0,1,1,0,0,ללא,2,7,חדש מקבלן,גג/פנטהאוז, אשדוד,"["" רובע ד'""]",0,5,7,121,"2,650,000 ₪"
0,0,0,1,1,0,1,0,0,1,2,3,,משופץ,בית פרטי/קוטג', אשדוד,"[' רובע י""א']",0,8,קרקע,372,"6,100,000 ₪"
0,1,1,1,0,1,1,1,1,0,ללא,,18,משופץ,דירה, אשדוד,"[' רובע ט""ז']",1,3,2,112,"2,050,000 ₪"
1,1,0,1,1,1,1,1,0,0,1,1,7,משופץ,דירה, אשדוד,"[' רובע י""א']",0,4,1,82,"1,750,000 ₪"
0,0,0,0,0,0,0,0,0,0,ללא,,4,במצב שמור,דירה, אשדוד,"["" רובע א'""]",0,3,3,86,"1,500,000 ₪"
1,0,1,1,0,0,1,1,0,0,ללא,,4,במצב שמור,דירה, אשדוד,"["" רובע ו'""]",0,4.5,3,72,"1,849,000 ₪"
1,1,1,0,1,1,1,1,0,1,1,1,28,חדש,דירה, אשדוד,"[' הקריה מע""ר']",1,4,13,190,לא צוין מחיר
,,,,,0,,,0,,,,,,מגרשים,מגרשים,[],1,-,קרקע,100,"330,000 ₪"
0,1,1,0,0,1,1,0,0,1,2,1,,במצב שמור,גג/פנטהאוז, אשדוד,"[' רובע ט""ז']",0,6,קרקע,1,"3,800,000 ₪"
0,0,1,0,0,0,0,1,1,0,ללא,1,9,במצב שמור,דירה, אשדוד,"["" רובע ה'""]",1,5,7,1,"2,150,000 ₪"
1,0,1,0,0,1,1,1,0,0,1,1,7,במצב שמור,,,,1,,,,
1,0,1,0,0,1,1,1,1,1,1,1,9,במצב שמור,דירה, אשדוד,[],0,3,1,120,"1,690,000 ₪"
0,1,1,1,1,1,1,1,1,1,1,,4,משופץ,דירה, אשדוד,"["" רובע ג'""]",0,3,3,60,"1,350,000 ₪"
1,,,,,,,,,,1,2,2,במצב שמור,דופלקס, אשדוד,"[' רובע י""ז']",1,5,1,150,"2,790,000 ₪"
0,0,0,0,0,1,0,1,0,0,ללא,,10,במצב שמור,דירה, אשדוד,[],0,4,3,136,"1,780,000 ₪"
1,0,1,1,0,1,1,1,1,0,ללא,1,7,משופץ,דירה, אשדוד,[],1,3,2,100,לא צוין מחיר
